timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 14:01:13.358",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:13.327",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:13.284",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:13.284",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.411",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:01:09.380",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:01:09.348",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.271",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:09.242",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.149",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:09.148",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.101",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:09.099",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:05.218",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:01:05.188",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:01:05.159",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:05.081",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:05.052",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:04.972",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:04.972",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:04.896",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:04.866",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:00.968",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:01:00.938",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:01:00.909",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:00.845",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:00.829",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:00.739",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:00.738",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:00.647",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:00.647",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:56.810",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:56.793",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:56.762",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
