timestamp,agent_name,run_id,rule_id,rule_level,rule_description,full_log
2026-05-14T23:07:20.596-0400,safesoc-lnx-01,S10-MAN-R002,100765,7,SafeAgentSOC S10 Linux cron marker scenario,May 15 03:07:20 safesoc-lnx-01 safesoc-lnx-01[10309]: SAFESOC_S10_CRON_MARKER RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:07:20.612-0400,safesoc-lnx-01,S10-MAN-R002,100761,3,SafeAgentSOC run end marker observed,May 15 03:07:20 safesoc-lnx-01 safesoc-lnx-01[10317]: SAFESOC_RUN_END RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:07:20.629-0400,safesoc-lnx-01,S10-MAN-R002,100760,3,SafeAgentSOC run start marker observed,2026-05-14T23:07:20.348548-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_START RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:07:20.632-0400,safesoc-lnx-01,S10-MAN-R002,100765,7,SafeAgentSOC S10 Linux cron marker scenario,2026-05-14T23:07:20.354023-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_S10_CRON_MARKER RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:07:20.634-0400,safesoc-lnx-01,S10-MAN-R002,100761,3,SafeAgentSOC run end marker observed,2026-05-14T23:07:20.376075-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_RUN_END RUN_ID=S10-MAN-R002 host=safesoc-lnx-01
2026-05-14T23:34:48.580-0400,safesoc-lnx-01,GAP-LNX-T1003-SIM-R001,100782,10,SafeAgentSOC simulated credential dumping gap marker,2026-05-14T23:34:47.992096-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1003-SIM-R001 technique=T1003 concept=credential_dumping_simulated host=safesoc-lnx-01
2026-05-14T23:34:48.599-0400,safesoc-lnx-01,GAP-LNX-T1003-SIM-R001,100782,10,SafeAgentSOC simulated credential dumping gap marker,2026-05-14T23:34:48.017445-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1003-SIM-R001 technique=T1003 status=simulated_only host=safesoc-lnx-01
2026-05-14T23:34:49.176-0400,safesoc-lnx-01,GAP-LNX-T1003-SIM-R001,100782,10,SafeAgentSOC simulated credential dumping gap marker,May 15 03:34:47 safesoc-lnx-01 safesoc-lnx-01[12599]: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-T1003-SIM-R001 technique=T1003 concept=credential_dumping_simulated host=safesoc-lnx-01
2026-05-14T23:34:49.177-0400,safesoc-lnx-01,GAP-LNX-T1003-SIM-R001,100782,10,SafeAgentSOC simulated credential dumping gap marker,May 15 03:34:48 safesoc-lnx-01 safesoc-lnx-01[12605]: SAFESOC_GAP_SIM_END RUN_ID=GAP-LNX-T1003-SIM-R001 technique=T1003 status=simulated_only host=safesoc-lnx-01
2026-05-14T23:36:20.605-0400,safesoc-lnx-01,GAP-LNX-001-SIM-R001,100780,8,SafeAgentSOC simulated-only high-risk gap started,2026-05-14T23:36:19.443906-04:00 safesoc-lnx-01 safesoc-lnx-01: SAFESOC_GAP_SIM_START RUN_ID=GAP-LNX-001-SIM-R001 technique=shadow_dump concept=credential_material_access host=safesoc-lnx-01
