timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 14:00:56.514",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:56.456",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:56.454",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.569",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:52.554",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:52.538",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.445",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.428",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.351",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.334",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:52.280",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:52.276",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.428",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:48.397",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:48.365",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.273",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.242",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.162",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.133",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:48.058",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:48.057",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:44.210",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:44.180",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:44.147",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:44.068",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:44.038",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:43.964",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:43.963",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:43.884",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:43.854",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.963",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:39.932",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:39.903",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.810",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.777",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.700",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.668",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:39.639",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:39.637",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.816",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:35.787",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:35.755",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.661",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.629",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.538",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.506",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:35.423",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:35.419",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:31.624",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:31.594",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:31.561",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:31.484",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:31.454",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:31.360",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:31.329",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:31.242",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:31.241",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:27.267",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:00:27.217",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:00:27.200",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:27.152",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:27.137",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:27.088",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:00:27.088",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:27.007",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:00:26.979",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:54:26.305",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 13:52:21.827",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 13:09:33.943",safesoc-win-01,Application Compatibility Database launched,12,92058
"May 14, 2026 @ 13:08:56.845",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 13:08:53.033",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 13:08:50.156",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 13:08:45.699",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:45.698",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:42.179",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:42.177",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:38.492",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:38.491",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:35.107",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 13:08:35.106",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 13:08:35.105",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:31.809",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 13:08:31.808",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 13:08:31.807",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:28.711",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:28.710",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:24.681",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:24.680",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 13:08:18.489",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 13:08:18.488",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 12:57:12.852",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:54:02.028",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:52:56.427",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:52:54.750",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:52:50.941",safesoc-win-01,The database engine is starting a new instance.,3,60805
"May 14, 2026 @ 12:52:49.875",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 12:52:49.700",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 12:51:57.561",safesoc-win-01,Service startup type was changed,3,61104
"May 14, 2026 @ 12:41:30.558",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 12:31:47.577",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 12:31:47.576",safesoc-win-01,Discovery activity spawned via powershell execution,3,92033
"May 14, 2026 @ 12:31:44.772",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 12:31:44.771",safesoc-win-01,Discovery activity spawned via powershell execution,3,92033
