field,present_count,present_percent,missing_count,missing_percent
data.euid,16,0.23,6877,99.77
data.win.eventdata.targetLogonId,15,0.22,6878,99.78
data.vulnerability.cwe_reference,13,0.19,6880,99.81
data.win.eventdata.processName,12,0.17,6881,99.83
data.win.eventdata.logonProcessName,11,0.16,6882,99.84
data.win.eventdata.authenticationPackageName,11,0.16,6882,99.84
data.win.eventdata.workstationName,11,0.16,6882,99.84
data.win.eventdata.keyLength,11,0.16,6882,99.84
data.win.eventdata.ipAddress,11,0.16,6882,99.84
data.win.eventdata.ipPort,11,0.16,6882,99.84
previous_output,9,0.13,6884,99.87
previous_log,8,0.12,6885,99.88
data.win.eventdata.impersonationLevel,8,0.12,6885,99.88
data.win.eventdata.virtualAccount,8,0.12,6885,99.88
data.win.eventdata.targetLinkedLogonId,8,0.12,6885,99.88
data.win.eventdata.elevatedToken,8,0.12,6885,99.88
data.sca.description,7,0.10,6886,99.90
data.sca.policy_id,7,0.10,6886,99.90
data.sca.passed,7,0.10,6886,99.90
data.sca.failed,7,0.10,6886,99.90
data.sca.invalid,7,0.10,6886,99.90
data.sca.total_checks,7,0.10,6886,99.90
data.sca.score,7,0.10,6886,99.90
data.sca.file,7,0.10,6886,99.90
data.logname,7,0.10,6886,99.90
syscheck.gid_before,6,0.09,6887,99.91
data.win.eventdata.product Name,6,0.09,6887,99.91
data.win.eventdata.product Version,6,0.09,6887,99.91
data.gid,5,0.07,6888,99.93
data.win.eventdata.detection ID,5,0.07,6888,99.93
data.win.eventdata.detection Time,5,0.07,6888,99.93
data.win.eventdata.threat ID,5,0.07,6888,99.93
data.win.eventdata.threat Name,5,0.07,6888,99.93
data.win.eventdata.severity ID,5,0.07,6888,99.93
data.win.eventdata.severity Name,5,0.07,6888,99.93
data.win.eventdata.category ID,5,0.07,6888,99.93
data.win.eventdata.category Name,5,0.07,6888,99.93
data.win.eventdata.fWLink,5,0.07,6888,99.93
data.win.eventdata.status Code,5,0.07,6888,99.93
data.win.eventdata.state,5,0.07,6888,99.93
data.win.eventdata.source ID,5,0.07,6888,99.93
data.win.eventdata.source Name,5,0.07,6888,99.93
data.win.eventdata.process Name,5,0.07,6888,99.93
data.win.eventdata.detection User,5,0.07,6888,99.93
data.win.eventdata.path,5,0.07,6888,99.93
data.win.eventdata.origin ID,5,0.07,6888,99.93
data.win.eventdata.origin Name,5,0.07,6888,99.93
data.win.eventdata.execution ID,5,0.07,6888,99.93
data.win.eventdata.execution Name,5,0.07,6888,99.93
data.win.eventdata.type ID,5,0.07,6888,99.93
data.win.eventdata.type Name,5,0.07,6888,99.93
data.win.eventdata.pre Execution Status,5,0.07,6888,99.93
data.win.eventdata.action ID,5,0.07,6888,99.93
data.win.eventdata.action Name,5,0.07,6888,99.93
data.win.eventdata.error Code,5,0.07,6888,99.93
data.win.eventdata.error Description,5,0.07,6888,99.93
data.win.eventdata.post Clean Status,5,0.07,6888,99.93
data.win.eventdata.additional Actions ID,5,0.07,6888,99.93
data.win.eventdata.additional Actions String,5,0.07,6888,99.93
data.win.eventdata.security intelligence Version,5,0.07,6888,99.93
data.win.eventdata.engine Version,5,0.07,6888,99.93
data.home,4,0.06,6889,99.94
data.shell,4,0.06,6889,99.94
data.win.eventdata.privilegeList,4,0.06,6889,99.94
data.win.eventdata.bucketType,4,0.06,6889,99.94
data.win.eventdata.eventName,4,0.06,6889,99.94
data.win.eventdata.response,4,0.06,6889,99.94
data.win.eventdata.cabId,4,0.06,6889,99.94
data.win.eventdata.p1,4,0.06,6889,99.94
data.win.eventdata.p2,4,0.06,6889,99.94
data.win.eventdata.p3,4,0.06,6889,99.94
