field,type,count,percent
data.win.eventdata.url,string,2,0.03
data.win.eventdata.user,string,390,5.66
data.win.eventdata.utcTime,string,390,5.66
data.win.eventdata.virtualAccount,string,8,0.12
data.win.eventdata.workstationName,string,11,0.16
data.win.system.channel,string,488,7.08
data.win.system.computer,string,488,7.08
data.win.system.eventID,string,488,7.08
data.win.system.eventRecordID,string,488,7.08
data.win.system.eventSourceName,string,62,0.90
data.win.system.keywords,string,488,7.08
data.win.system.level,string,488,7.08
data.win.system.message,string,488,7.08
data.win.system.opcode,string,488,7.08
data.win.system.processID,string,488,7.08
data.win.system.providerGuid,string,486,7.05
data.win.system.providerName,string,488,7.08
data.win.system.severityValue,string,488,7.08
data.win.system.systemTime,string,488,7.08
data.win.system.task,string,488,7.08
data.win.system.threadID,string,488,7.08
data.win.system.version,string,488,7.08
decoder.ftscomment,string,130,1.89
decoder.name,string,6829,99.07
decoder.parent,string,602,8.73
full_log,string,2465,35.76
id,string,6893,100.00
location,string,6893,100.00
manager.name,string,6893,100.00
predecoder.hostname,string,446,6.47
predecoder.program_name,string,563,8.17
predecoder.timestamp,string,567,8.23
previous_log,string,8,0.12
previous_output,string,9,0.13
rule.cis,array,1092,15.84
rule.cis[],string,1092,15.84
rule.cis_csc_v7,array,931,13.51
rule.cis_csc_v7[],string,931,13.51
rule.cis_csc_v8,array,914,13.26
rule.cis_csc_v8[],string,914,13.26
rule.description,string,6893,100.00
rule.firedtimes,integer,6893,100.00
rule.frequency,integer,3,0.04
rule.gdpr,array,6259,90.80
rule.gdpr[],string,6259,90.80
rule.gpg13,array,2293,33.27
rule.gpg13[],string,2293,33.27
rule.groups,array,6893,100.00
rule.groups[],string,6893,100.00
rule.hipaa,array,2619,38.00
rule.hipaa[],string,2619,38.00
rule.id,string,6893,100.00
rule.info,string,19,0.28
rule.iso_27001-2013,array,864,12.53
rule.iso_27001-2013[],string,864,12.53
rule.level,integer,6893,100.00
rule.mail,boolean,6893,100.00
rule.mitre.id,array,1438,20.86
rule.mitre.id[],string,1438,20.86
rule.mitre.tactic,array,1438,20.86
rule.mitre.tactic[],string,1438,20.86
rule.mitre.technique,array,1438,20.86
rule.mitre.technique[],string,1438,20.86
rule.mitre_mitigations,array,542,7.86
rule.mitre_mitigations[],string,542,7.86
rule.mitre_tactics,array,585,8.49
rule.mitre_tactics[],string,585,8.49
rule.mitre_techniques,array,588,8.53
rule.mitre_techniques[],string,588,8.53
rule.nist_800_53,array,3413,49.51
rule.nist_800_53[],string,3413,49.51
rule.nist_sp_800-53,array,553,8.02
